STATIONS_ID;MESS_DATUM;QN_3;FX;FM;QN_4;RSK;RSKF;SDK;SHK_TAG;NM;VPM;PM;TMK;UPM;TXK;TNK;TGK;eor
1420;20170221;10;12.9;5.3;3;0.8;6;0.000;0;7.4;11.3;1003.24;10.3;90.17;12.4;9.7;7.5;eor
1420;20170222;10;19.0;9.1;3;0.0;6;0.000;0;7.5;10.6;998.27;10.7;82.42;11.7;10.0;8.6;eor
1420;20170223;10;21.4;10.1;3;0.0;6;0.000;0;7.0;8.5;990.02;9.9;69.75;11.1;8.4;5.6;eor
1420;20170224;10;17.8;6.2;3;0.1;6;3.500;0;4.8;5.7;999.77;5.5;63.21;9.0;-1.8;-4.4;eor
1420;20170225;10;11.7;2.8;3;0.0;6;5.533;0;4.5;5.7;1008.75;2.8;77.83;10.1;-3.5;-6.2;eor
1420;20170226;10;13.7;5.1;3;0.0;6;5.067;0;5.6;6.8;1002.40;8.3;63.88;14.4;1.8;-0.6;eor
1420;20170227;10;22.8;6.2;3;4.3;6;1.667;0;6.9;8.3;991.70;11.2;63.58;14.9;7.1;6.3;eor
1420;20170228;10;16.6;7.2;3;1.0;6;1.567;0;6.7;7.4;983.42;6.1;78.42;9.2;4.4;2.6;eor
1420;20170301;10;18.2;7.7;3;2.7;6;0.717;0;7.2;7.9;990.63;6.8;80.04;10.0;4.5;3.5;eor
1420;20170302;10;20.6;8.8;3;0.0;6;2.200;0;5.3;6.6;998.24;8.6;59.92;11.6;3.5;0.3;eor
1420;20170303;10;9.4;2.1;3;0.0;0;1.883;0;7.3;6.0;997.48;6.7;63.96;12.9;0.2;-2.2;eor
1420;20170304;10;16.3;3.5;3;2.7;6;4.267;0;6.8;7.6;983.93;9.2;67.33;16.8;2.9;0.0;eor
1420;20170305;10;19.0;6.2;3;5.4;6;1.600;0;7.1;8.3;989.26;7.3;81.83;11.0;4.8;4.3;eor
1420;20170306;10;13.4;5.1;3;2.4;6;0.283;0;7.1;8.2;989.72;6.2;87.00;8.5;4.2;2.6;eor
1420;20170307;10;12.9;3.9;3;0.7;6;2.017;0;6.8;8.0;1001.98;6.1;85.13;10.1;4.3;3.2;eor
1420;20170308;10;15.3;4.0;3;13.2;6;0.000;0;6.8;8.2;1007.05;4.6;96.04;8.2;0.4;-1.6;eor
1420;20170309;10;13.4;3.5;3;2.4;6;1.900;0;5.5;10.2;1006.47;10.2;83.58;17.0;5.1;3.7;eor
1420;20170310;10;11.3;2.7;3;0.0;0;8.417;0;3.6;6.5;1014.46;7.9;61.92;12.3;2.3;-0.3;eor
1420;20170311;10;6.9;2.3;3;0.0;0;6.817;0;5.0;6.0;1010.27;6.7;65.17;13.7;-0.1;-2.0;eor
1420;20170312;10;9.1;2.7;3;0.0;0;10.050;0;3.3;5.8;1005.09;7.2;59.88;14.0;0.6;-1.6;eor
1420;20170313;10;6.7;1.9;3;0.0;0;8.767;0;3.2;5.8;1012.50;6.7;60.67;13.7;1.3;-1.6;eor
1420;20170314;10;7.2;1.8;3;0.0;0;8.017;0;6.5;7.1;1018.79;7.8;69.75;16.3;0.3;-1.2;eor
1420;20170315;10;8.7;2.5;3;0.0;0;3.900;0;5.7;9.0;1018.52;10.2;73.38;15.8;3.5;0.9;eor
1420;20170316;10;6.2;1.4;3;0.0;0;10.717;0;3.2;7.4;1012.04;8.5;70.58;17.5;0.6;-1.7;eor
