STATIONS_ID;MESS_DATUM;QN_3;FX;FM;QN_4;RSK;RSKF;SDK;SHK_TAG;NM;VPM;PM;TMK;UPM;TXK;TNK;TGK;eor
3379;20170221;10;15.4;6.3;3;3.4;4;0.000;-999;7.7;9.6;955.46;8.4;86.46;9.6;6.6;5.5;eor
3379;20170222;10;22.5;6.9;3;0.1;4;2.300;-999;6.9;8.8;952.40;10.1;71.17;12.3;9.1;7.3;eor
3379;20170223;10;22.6;6.8;3;0.7;4;4.933;-999;5.8;5.8;944.30;13.3;41.04;19.0;7.2;3.3;eor
3379;20170224;10;18.4;5.5;3;0.5;4;1.567;-999;7.2;6.2;949.85;5.2;70.83;11.9;1.3;-1.2;eor
3379;20170225;10;5.7;1.9;3;0.0;0;9.433;-999;0.7;5.1;959.38;3.9;65.92;9.7;-0.9;-3.5;eor
3379;20170226;10;7.9;2.3;3;0.0;0;2.400;-999;5.1;5.3;955.21;6.0;58.63;11.6;0.9;-1.5;eor
3379;20170227;10;6.4;1.9;3;0.0;4;7.100;-999;2.0;5.7;946.72;7.7;57.50;15.8;0.6;-3.2;eor
3379;20170228;10;14.6;4.1;3;14.9;4;0.000;-999;-999;6.4;938.93;4.4;77.71;9.2;1.6;0.0;eor
3379;20170301;10;16.8;5.7;3;3.9;4;1.350;-999;6.8;5.9;946.11;5.4;66.21;8.1;1.4;0.1;eor
3379;20170302;10;17.8;6.1;3;0.1;4;4.200;-999;4.6;6.4;951.80;7.5;62.50;10.7;3.4;0.1;eor
3379;20170303;10;8.0;2.8;3;0.0;0;4.617;-999;6.0;5.1;950.37;7.2;51.46;13.1;1.0;-2.4;eor
3379;20170304;10;19.6;4.3;3;0.0;4;6.050;-999;3.8;5.9;936.83;12.6;42.50;18.9;6.8;1.8;eor
3379;20170305;10;10.1;3.5;3;1.1;4;3.267;-999;5.9;6.4;943.93;7.2;63.88;11.0;4.5;2.1;eor
3379;20170306;10;15.3;4.6;3;1.0;4;1.517;-999;7.1;6.4;942.62;5.8;70.71;9.6;3.6;1.8;eor
3379;20170307;10;11.7;4.4;3;3.1;4;1.700;-999;6.6;6.7;951.95;3.9;83.04;7.1;2.5;1.0;eor
3379;20170308;10;12.4;3.0;3;8.0;4;3.400;-999;6.3;6.6;959.91;5.6;73.96;8.8;2.3;0.0;eor
3379;20170309;10;12.6;4.4;3;9.1;4;0.000;-999;7.3;10.4;957.57;8.7;92.04;9.7;7.8;6.5;eor
3379;20170310;10;14.2;4.4;3;0.0;0;3.917;-999;5.1;6.1;962.97;5.7;66.92;8.8;0.3;-2.7;eor
3379;20170311;10;7.0;2.3;3;0.0;0;4.917;-999;5.1;5.4;960.63;4.9;64.58;11.3;-1.4;-4.5;eor
